選手名,登録番号,卒業期,地区,ホームバンク,府県,脚質,生年月日,縁故選手,友人,練習仲間,練習グループ,師匠,弟子,好きな周長,好きな車番,好きな食べ物,嫌いな食べ物
藤田　勝也,14398,94期,近畿,和歌山,和歌山県,追,1988/7/8,-,山本　奨（岡　山・94期）、石坂　順秀（群　馬・94期）、角口　聖也（千　葉・94期）、宮崎　康司（香　川・94期）,-,-,西野　卓也（和歌山・44期）,-,-,-,-,-
藤根　俊貴,15236,113期,北日本,-,岩手県,逃,1995/2/11,-,-,佐藤　友和（岩　手・88期）、佐藤　博紀（岩　手・96期）、高木　翔（岩　手・105期）、後藤　悠（岩　手・115期）、照井　拓成（岩　手・115期）、小笠原　光（岩　手・117期）,紫波グループ,佐藤　友和（岩　手・88期）,-,333m,１・２・３,-,-
藤原　憲征,13693,85期,関東,弥彦,新潟県,追,1979/7/31,藤原 実(父26期・引退)藤原 亜衣里(妹102期)藤川 浩平(義兄87期・引退),-,-,弥彦競輪場グループ,藤原　実（新　潟・26期）,本間　慎吾（新　潟・91期）、中川　諒子（熊　本・102期）、藤原亜衣里（新　潟・102期）,-,2,-,-
藤原　誠,12519,69期,中部,岐阜,岐阜県,追,1972/4/29,浅井 雄三(義弟79期),-,松尾　淳（岐　阜・77期）、不破　将登（岐　阜・94期）、藤井　準也（岐　阜・105期）、宮地　寧々（岐　阜・110期）、藤井　稜也（岐　阜・115期）、野崎　翼（岐　阜・121期）,-,木田　幸雄（岐　阜・19期）,北村　篤（岐　阜・94期）、川口公太朗（岐　阜・98期）、吉田　茂生（岐　阜・98期）、川口　聖二（岐　阜・103期）、藤井　準也（岐　阜・105期）、宮地　寧々（岐　阜・110期）、藤井　稜也（岐　阜・115期）,-,4,鬼まんじゅう,辛すぎるトムヤムクン
古川　尚耶,14221,92期,関東,宇都宮,栃木県,追,1985/8/9,-,藤野　竜也（栃　木・117期）、神山　尚（栃　木・109期）,矢野　昌彦（栃　木・91期）、神山　拓弥（栃　木・91期）、中川　貴徳（栃　木・91期）、高塩　讓次（栃　木・90期）、川上　隆義（栃　木・125期）,-,瀧深　一彦（栃　木・40期）,川上　隆義（栃　木・125期）,-,9,寿司・焼肉,-
不破　将登,14394,94期,中部,大垣,岐阜県,両,1988/8/9,-,-,-,-,加藤　慎平（岐　阜・81期）,長屋　秀明（岐　阜・117期）,-,-,カラアゲ,出会った事がない
邊見　光輝,15595,119期,北日本,いわき平,福島県,逃,2002/3/1,金澤幸司（91期）、金澤竜二（91期）,大高　彰馬（福　島・119期）、菅野　航基（宮　城・119期）、林　昌幸（愛　媛・119期）、田口　勇介（秋　田・119期）,金澤　幸司（福　島・91期）、金澤　竜二（福　島・91期）、須永　優太（福　島・94期）、須永　勝太（福　島・98期）、邊見　斎（福　島・92期）、関根　彰人（沖　縄・94期）、星野　洋輝（福　島・115期）,-,金澤　幸司（福　島・91期）,-,400m,2,肉,トマト
保科　千春,14796,100期,北日本,-,宮城県,追,1991/10/17,-,佐藤　雅春（宮　城・94期）、竹山　慶太（宮　城・105期）,太田　貴之（宮　城・88期）、阿部　英光（宮　城・89期）、安部　貴之（宮　城・92期）、山崎　将幸（宮　城・92期）、阿部　力也（宮　城・100期）、會澤　龍（宮　城・105期）、佐藤　雅春（宮　城・94期）、鈴木　裕斗（宮　城・99期）、太田　将成（宮　城・113期）、菅田　壱道（宮　城・91期）,-,秋藤　徳雄（宮　城・56期）,-,500m,４・６・８,肉、刺身,野菜、メロン、スイカ
星野　洋輝,15328,115期,北日本,いわき平,福島県,追,2000/2/3,-,佐々木悠葵（群　馬・115期）、松坂　侑亮（神奈川・115期）、南　蓮（和歌山・115期）、張野　幸聖（和歌山・115期）、田上　晃也（岡　山・115期）、竹元　健竜（福　岡・115期）、伊藤　颯馬（沖　縄・115期）、阪本　和也（長　崎・115期）、小原丈一郎（青　森・115期）,須永　優太（福　島・94期）、須永　勝太（福　島・98期）、小谷田公則（福　島・88期）、金澤　幸司（福　島・91期）、金澤　竜二（福　島・91期）、関根　彰人（沖　縄・94期）、邊見　斎（福　島・92期）、邊見　光輝（福　島・119期）、角田　光（福　島・125期）,-,須永　優太（福　島・94期）,-,-,-,肉、甘い物,野菜、苦い物
堀内　俊介,15050,107期,南関東,川崎,神奈川県,両,1990/1/17,-,-,-,-,三住　博昭（神奈川・61期）,-,-,-,-,-
堀江　省吾,15522,119期,関東,-,長野県,逃,1997/3/6,-,小池　千啓（栃　木・119期）、中島　詩音（山　梨・119期）、志田　龍星（岐　阜・119期）、鈴木　浩太（千　葉・119期）,柿澤　大貴（長　野・97期）,-,柿澤　大貴（長　野・97期）,-,400m,3,ハンバーグ、カレー、シチュー、海ぶどう,なし
堀川　敬太郎,15741,123期,九州,久留米,福岡県,逃,2001/9/28,-,丸林　駿太（福　岡・123期）、楠本　政明（福　岡・123期）,藤田　剣次（福　岡・85期）,-,藤田　剣次（福　岡・85期）,-,400m,2,蕎麦、オレンジ、みかん,椎茸、ナス
本郷　雄三,14786,99期,九州,熊本,熊本県,両,1988/7/26,-,-,-,甲佐グループ,-,-,-,１・２・３,焼き肉,-
房州　輝也,14137,91期,北日本,いわき平,福島県,両,1986/6/26,房州 俊一(叔父47期・引退),小酒　大司（福　島・94期）、佐藤　康恭（福　島・94期）,佐藤　一伸（福　島・94期）、渡辺　正光（福　島・95期）、渡邉　正人（福　島・100期）、坂本　拓也（福　島・111期）、佐伯　翔（福　島・97期）,-,房州　俊一（福　島・47期）,坂本　拓也（福　島・111期）,-,1,肉・麺類,酢の物・納豆
牧　剛央,13368,80期,九州,別府,大分県,追,1973/10/18,-,丸林　一孝（福　岡・81期）、中村　良二（福　岡・81期）、八尋　英輔（福　岡・89期）、田中　弘章（福　岡・68期）,-,-,案浦　攻（福　岡・65期）,-,-,1,焼肉、寿司、天ぷら,-
蒔田　英彦,14298,93期,南関東,千葉,千葉県,両,1983/4/5,-,藤田　大輔（千　葉・91期）、近藤　隆司（千　葉・90期）、齋藤　輝彦（神奈川・93期）、山本　健也（千　葉・89期）、須藤　雄太（千　葉・89期）、齋藤　宗徳（千　葉・100期）,藤田　大輔（千　葉・91期）、田中　勝仁（千　葉・93期）、近藤　隆司（千　葉・90期）、齋藤　輝彦（神奈川・93期）、山本　健也（千　葉・89期）、須藤　雄太（千　葉・89期）,若州グループ,斉藤　和徳（千　葉・62期）,-,-,１・２・４・６・８,寿司・焼肉・フランス料理・イタリア料理・中華料理,ブロッコリー・カキ
牧田　悠生,15703,123期,関東,弥彦,新潟県,逃,1999/7/8,-,平野　想真（愛　知・123期）、丸林　駿太（福　岡・123期）、楠本　政明（福　岡・123期）、中岡　海（愛　媛・123期）、下岡　将也（三　重・111期）,舟山　佑京（新　潟・113期）、片桐　善也（新　潟・117期）、邊見　祐太（新　潟・119期）、治田　知也（新　潟・121期）、滝本　幸正（新　潟・121期）、小榑　佑弥（群　馬・121期）,-,佐藤　政利（新　潟・91期）,-,400m,-,寿司,サーモンとアボカドの和え物
真崎　新太郎,13679,85期,関東,宇都宮,栃木県,追,1978/12/13,-,佐藤　有輝（神奈川・85期）、榊原　洋（岡　山・85期）、荒澤　貴史（北海道・85期）、岡本　英之（千　葉・85期）,飯嶋　則之（栃　木・81期）、阿久津　修（栃　木・88期）、高塩　讓次（栃　木・90期）、中川　貴徳（栃　木・91期）、安達　隆己（栃　木・117期）、雨谷　一樹（栃　木・96期）,-,深井　美照（栃　木・33期）,-,-,３・６,すし・焼肉・メロン,わらび・パクチー
眞杉　匠,15242,113期,関東,宇都宮,栃木県,逃,1999/2/1,-,橋本　瑠偉（栃　木・113期）、磯川　勝裕（東　京・113期）、小林　泰正（群　馬・113期）、小玉　勇一（埼　玉・113期）、中嶋　宣成（長　野・113期）、中釜　章成（大　阪・113期）、森田　優弥（埼　玉・113期）、樋口　開土（東　京・113期）,金子　幸央（栃　木・101期）、隅田　洋介（岡　山・107期）、神山　尚（栃　木・109期）、磯田　旭（栃　木・96期）、秋本耀太郎（栃　木・117期）、坂井　洋（栃　木・115期）、福田　滉（栃　木・115期）、幸田　望夢（栃　木・115期）,瀧深グループ,小田倉勇二（埼　玉・91期）,-,400m,1,寿司、焼き肉,アーモンド、ピーナッツ
増原　正人,14680,98期,中国,広島,広島県,両,1983/5/30,-,西岡　拓朗（広　島・97期）、東矢　昇太（熊　本・98期）、角　令央奈（福　岡・98期）、志村　龍己（山　梨・98期）,西岡　拓朗（広　島・97期）,-,和田　誠吾（広　島・55期）,-,-,2,肉,-
町田　太我,15464,117期,中国,広島,広島県,逃,2000/7/8,-,仲野　結音（大　阪・117期）、犬塚　貴之（愛　知・117期）、谷元　奎心（山　口・117期）,吉本　哲郎（広　島・84期）、竹内　翼（広　島・109期）、木村　幸希（広　島・109期）、船瀬　惇平（広　島・111期）、増田　仁（広　島・113期）、白井優太朗（広　島・119期）、石原　颯（香　川・117期）、西田　優大（広　島・123期）、黒瀬浩太郎（広　島・123期）,吉本グループ,吉本　哲郎（広　島・84期）,-,400m,1,母の作った肉詰めピーマン,明太子、たらこ、かずのこ、キャビア
松井　宏佑,15261,113期,南関東,平塚,神奈川県,逃,1992/9/24,-,-,松坂　洋平（神奈川・89期）、柴田功一郎（神奈川・79期）、武田　憲祐（神奈川・93期）、山下　貴之（神奈川・85期）、鈴木　愼二（神奈川・74期）、遠澤　健二（神奈川・57期）、加藤　圭一（神奈川・85期）,平塚朝練グループ,三ツ井　勉（神奈川・45期）,-,400m,-,お肉,-
松浦　悠士,14681,98期,中国,広島,広島県,両,1990/11/21,-,-,脇田　良雄（広　島・66期）、大川　龍二（広　島・91期）、細川　貴史（広　島・87期）、隅田　幸助（広　島・91期）,西条グループ,脇田　良雄（広　島・66期）,池川　瑠威（広　島・115期）,-,1,-,-
松尾　信太郎,14264,92期,九州,小倉,福岡県,追,1983/5/7,松尾 透(弟96期),-,小川　勇介（福　岡・90期）、永田　隼一（福　岡・95期）、園田　匠（福　岡・87期）、市橋司優人（福　岡・103期）、嶋田　誠也（福　岡・109期）、岩谷　拓磨（福　岡・115期）、阿部　英斗（福　岡・125期）、松本　定（福　岡・125期）,-,園田　匠（福　岡・87期）,-,333m,１・３・９,寿司・肉,メロン
松尾　透,14558,96期,九州,小倉,福岡県,追,1985/4/2,松尾 信太郎(兄92期),樫山　恭柄（福　岡・92期）、飯田　裕次（福　岡・97期）、是永　幸寛（福　岡・94期）,樫山　恭柄（福　岡・92期）、山田　浩一（福　岡・59期）,山田組、樫山組,小笠原秀樹（福　岡・80期）,-,333m,１・３・７・９,ラーメン,-
松尾　勇吾,15388,115期,九州,熊本,熊本県,追,1998/12/1,松尾 正人（66期）,伊藤　奎（福　島・115期）、池川　瑠威（広　島・115期）、外田　心斗（愛　媛・115期）、谷　和也（大　阪・115期）、照井　拓成（岩　手・115期）,松川　高大（熊　本・94期）、本郷　雄三（熊　本・99期）、瓜生　崇智（熊　本・109期）、境　啓亨（熊　本・111期）、曽我　圭佑（熊　本・113期）、島田　竜二（熊　本・76期）,松川グループ,松尾　正人（熊　本・66期）,-,400m,2,カレー、焼肉,スイカ、メロン
松岡　篤哉,14599,97期,中部,大垣,岐阜県,両,1982/6/28,-,-,山口　富生（岐　阜・68期）、冨岡　健一（岐　阜・64期）、岡崎　祥伍（岐　阜・97期）、竹内　雄作（岐　阜・99期）、板橋　慎治（岐　阜・95期）、山口　聖矢（岐　阜・115期）、山口　拳矢（岐　阜・117期）、松岡晋乃介（岐　阜・109期）、長尾　拳太（岐　阜・103期）,北陽グループ,山口　富生（岐　阜・68期）,栗山　和樹（岐　阜・125期）,-,１・２・９,寿司・ハンバーグ,きゅうり・スイカ
松岡　健介,13878,87期,近畿,-,兵庫県,両,1978/5/11,-,-,-,-,西尾　泰照（兵　庫・71期）,-,-,1,-,-
松岡　孔明,14199,91期,九州,熊本,熊本県,両,1982/4/14,松岡 博司(父33期・引退)松岡 貴久(弟90期)松岡 孝高(弟98期),-,松岡　貴久（熊　本・90期）,-,松岡　博司（熊　本・33期）,-,-,1,-,トマト
松岡　貴久,14122,90期,九州,熊本,熊本県,追,1984/5/27,松岡 博司(父33期・引退)松岡 孔明(兄91期)松岡 孝高(弟98期),-,-,-,松岡　博司（熊　本・33期）,-,-,１・３,生もの,ベジタボー
松岡　辰泰,15479,117期,九州,熊本,熊本県,逃,1996/8/14,-,小笠原　光（岩　手・117期）、小浦　凪（岐　阜・117期）、久田　裕也（徳　島・117期）、藤野　竜也（栃　木・117期）、青柳　靖起（佐　賀・117期）,松本秀之介（熊　本・117期）、伊藤　旭（熊　本・117期）、田川　辰二（熊　本・72期）、瓜生　崇智（熊　本・109期）、後藤　大輝（福　岡・121期）,-,田川　辰二（熊　本・72期）,-,333m,1,カステラ,パセリ
松川　高大,14421,94期,九州,熊本,熊本県,両,1988/12/2,-,近藤　龍徳（愛　知・101期）、近藤　幸徳（愛　知・52期）、伊藤　拓人（静　岡・94期）、関根　彰人（沖　縄・94期）、海野　敦男（静　岡・69期）,-,松川グループ,矢野　良和（熊　本・54期）,野口　大誠（熊　本・105期）,333m,５・７,鮨,しいたけ・にんじん
松坂　洋平,14020,89期,南関東,平塚,神奈川県,両,1982/8/27,松坂侑亮(115期）,長崎　達也（神奈川・89期）,遠澤　健二（神奈川・57期）、三ツ井　勉（神奈川・45期）、柴田功一郎（神奈川・79期）、加藤　圭一（神奈川・85期）、山下　貴之（神奈川・85期）,-,木内　隆哉（神奈川・62期）,松坂　侑亮（神奈川・115期）,-,4,肉,山菜
松崎　広太,15692,123期,関東,取手,茨城県,逃,1999/6/27,-,中原　航大（岡　山・123期）,須賀　和彦（茨　城・89期）、小畑　勝広（茨　城・115期）,-,須賀　和彦（茨　城・89期）,-,400m,１・４,-,エクレア
松谷　秀幸,14524,96期,南関東,川崎,神奈川県,追,1982/10/16,-,-,松坂　英司（神奈川・82期）、佐々木　龍（神奈川・109期）、佐々木眞也（神奈川・117期）、佐々木和紀（神奈川・117期）,-,佐々木龍也（神奈川・57期）,-,-,1,焼き肉,-
松田　治之,12834,73期,近畿,岸和田,大阪府,追,1974/2/10,-,中田　謙二（沖　縄・73期）、小橋　明紀（青　森・73期）,-,ＫＣＳＣグループ,山本　八郎（大　阪・28期）,-,-,1,カレーライス・焼肉・甘いもの・辛いもの,きのこ類・野菜
松永　将,14004,89期,関東,取手,茨城県,追,1980/12/31,-,-,-,川村道場,川村　恵三（茨　城・20期）,-,-,-,焼肉・寿司,-
松村　友和,13961,88期,近畿,-,大阪府,追,1980/1/3,-,-,-,-,中武　克雄（大　阪・57期）,仲野　結音（大　阪・117期）,-,7,和食,レーズン
松本　貴治,15203,111期,四国,松山,愛媛県,両,1993/12/22,-,境　啓亨（熊　本・111期）、島村　匠（福　岡・111期）、伊藤　稔真（三　重・111期）、森川　康輔（岐　阜・111期）、南　潤（和歌山・111期）、山崎　賢人（長　崎・111期）、菊池竣太朗（静　岡・111期）、久保田泰弘（山　口・111期）,濱田　浩司（愛　媛・81期）、日野　博幸（愛　媛・103期）,-,濱田　浩司（愛　媛・81期）,-,400m,3,うなぎ・中華料理・魚・肉,パクチー
松本　秀之慎,15663,121期,九州,熊本,熊本県,逃,2002/9/6,松本秀浩（父45期）松本秀之介(兄117期）,中野　慎詞（岩　手・121期）、中釜　健次（大　阪・121期）、塩崎　隼秀（愛　媛・121期）、真鍋　顕汰（三　重・121期）、日高　裕太（静　岡・121期）,松本秀之介（熊　本・117期）、松岡　辰泰（熊　本・117期）、伊藤　旭（熊　本・117期）,-,松本　秀浩（熊　本・45期）,-,400m,1,モンブラン,ししゃも
松本　秀之介,15480,117期,九州,熊本,熊本県,逃,2000/5/7,松本秀浩（45期・引退）松本秀之慎（弟121期）,長田　龍拳（静　岡・117期）,松岡　辰泰（熊　本・117期）、伊藤　旭（熊　本・117期）、松本秀之慎（熊　本・121期）,-,松本　秀浩（熊　本・45期）,-,400m,9,馬刺し,トマト
窓場　千加頼,14835,100期,近畿,向日町,京都府,両,1991/9/19,窓場 加乃敏(父59期),-,-,-,窓場加乃敏（京　都・59期）,-,-,-,-,-
真鍋　智寛,15647,121期,四国,松山,愛媛県,逃,1998/11/27,-,小川将二郎（徳　島・121期）、大川　剛（青　森・121期）、加藤　将武（埼　玉・121期）、滝本　幸正（新　潟・121期）、岸田　剛（福　井・121期）,-,-,-,-,400m,3,焼肉,チーズ
丸山　啓一,12889,74期,南関東,静岡,静岡県,追,1975/1/16,-,-,-,-,国持　晴彦（静　岡・41期）,河村　文人（静　岡・89期）,-,1,ナシゴレン・くだもの・ラム肉,しいたけ
丸山　貴秀,13996,89期,北日本,青森,秋田県,追,1980/5/13,-,-,-,-,山崎　幸悦（秋　田・33期）,-,-,2,カレー,なすの漬け物
三浦　翔大,14645,98期,北日本,-,宮城県,追,1990/6/25,三浦 雄大(兄98期)三浦 大輝(弟111期),-,高橋　秀昭（宮　城・37期）、鎌田　聡（宮　城・81期）、嶋貫　高大（宮　城・91期）、寺林　正秋（宮　城・93期）,大亀道場,鎌田　聡（宮　城・81期）,-,250m,-,ﾗｰﾒﾝｼｮｯﾌﾟｺﾞｻﾞｲﾔｽ、仙台二郎､牛たん太助､宇ち多”,-
三浦　貴大,15358,115期,中部,岐阜,岐阜県,両,1999/2/14,三浦 靖（53期）,小原丈一郎（青　森・115期）,-,-,三浦　靖（岐　阜・53期）,-,-,3,肉,野菜
水谷　好宏,14309,93期,近畿,-,大阪府,両,1983/4/6,-,-,-,-,松山裕一朗（滋　賀・75期）,-,-,-,-,-
三谷　将太,14252,92期,近畿,奈良,奈良県,追,1985/10/24,三谷 典正(父・49期・引退)三谷 政史(兄・93期)三谷 竜生(弟・101期),-,三谷　典正（奈　良・49期）、三谷　政史（奈　良・93期）、三谷　竜生（奈　良・101期）、田中　大我（奈　良・115期）,-,三谷　典正（奈　良・49期）,-,-,１・３,肉・スパゲッティー,ナス
三谷　竜生,14873,101期,近畿,奈良,奈良県,両,1987/9/5,三谷 典正(父49期・引退)三谷 政史(兄93期)三谷 将太(兄92期),-,三谷　典正（奈　良・49期）、三谷　政史（奈　良・93期）、三谷　将太（奈　良・92期）、田中　大我（奈　良・115期）,-,三谷　典正（奈　良・49期）,-,-,5,-,-
道場　晃規,15443,117期,南関東,-,静岡県,逃,1997/8/16,-,櫻井祐太郎（宮　城・117期）、兼本　将太（熊　本・117期）、伊藤　旭（熊　本・117期）、内藤　久文（愛　知・117期）、枠元　一葵（福　井・117期）、村田　瑞季（京　都・117期）,-,-,金川　光浩（静　岡・56期）,-,333m,7,寿司,しいたけ
湊　聖二,13804,86期,四国,小松島,徳島県,追,1976/12/12,平山 松男(期前),-,-,徳島支部,-,木村　隆弘（徳　島・91期）、藤田　洋平（徳　島・93期）、清水　一幸（大　阪・109期）、久樹　克門（徳　島・113期）、森　柾斗（徳　島・125期）,-,-,-,-
南　修二,13962,88期,近畿,岸和田,大阪府,追,1981/9/7,-,-,-,-,乾　準一（福　島・85期）,-,-,1,焼肉,納豆
南　潤,15186,111期,近畿,和歌山,和歌山県,逃,1997/11/13,南蓮(115期）南彩乃(妻122期）,菊池竣太朗（静　岡・111期）、伊藤　稔真（三　重・111期）、境　啓亨（熊　本・111期）、森川　康輔（岐　阜・111期）、島村　匠（福　岡・111期）、久保田泰弘（山　口・111期）、小林裕一朗（千　葉・111期）,-,-,-,-,400m,1,おすし、生レバー,生クリーム、しらこ
三宅　達也,13291,79期,中国,玉野,岡山県,追,1977/7/7,-,久冨　武（岡　山・79期）、新保　堅進（群　馬・79期）、小林　大介（群　馬・79期）、四元　隆裕（和歌山・79期）,伊豆田　忠（岡　山・27期）、藤原　隆之（岡　山・48期）、宮野　正人（岡　山・52期）、荻野　裕二（岡　山・53期）、久冨　栄二（岡　山・57期）、泉　和男（東　京・51期）、串田　晴男（岡　山・62期）、谷本　一樹（岡　山・63期）、取鳥　敬一（岡　山・69期）、山本　貴章（岡　山・76期）,-,荻野　裕二（岡　山・53期）,-,-,7,焼肉・カレー,ピーマン・セロリ
三宅　裕武,13955,88期,中部,松阪,三重県,追,1981/9/26,-,山口　大助（群　馬・88期）,岩見　潤（三　重・71期）、小西　誠也（三　重・80期）、西村　豊（三　重・84期）、倉田　紘希（三　重・117期）、小西　晴己（三　重・121期）、浜地　晴帆（三　重・122期）,高岸ファミリー,高岸　豊治（三　重・28期）,小西　晴己（三　重・121期）、浜地　晴帆（三　重・122期）,-,1,肉・魚,-
宮越　孝治,13483,82期,中部,富山,富山県,追,1979/1/18,宮越 大(兄77期),藤井　孝則（兵　庫・82期）、表　大暁（富　山・82期）、坂上　樹大（石　川・80期）、藤原　誠（岐　阜・69期）、志村　太賀（山　梨・90期）,笹倉　慎也（富　山・91期）、宮越　大（富　山・77期）、樋口　奨平（富　山・87期）、永原　徹（富　山・87期）、松田　大（富　山・98期）、村田　祐樹（富　山・121期）,Capricornis Racing Team,笹倉　重治（富　山・48期）,村田　祐樹（富　山・121期）,-,4,銀ダラ,まいたけ・魚の皮・こげ
宮崎　大空,15389,115期,九州,熊本,熊本県,両,1999/4/9,-,福田　滉（栃　木・115期）、幸田　望夢（栃　木・115期）、照井　拓成（岩　手・115期）,緒方　将樹（熊　本・117期）、山川　奨太（熊　本・117期）,-,田川　辰二（熊　本・72期）,-,400m,-,-,-
宮本　隼輔,15282,113期,九州,熊本,熊本県,両,1994/7/31,宮本 忠典（父55期・引退）、宮本 弘子（祖母 期前）,清水　裕友（山　口・105期）、安本　昇平（山　口・113期）,清水　裕友（山　口・105期）、安本　昇平（山　口・113期）,-,宮本　忠典（山　口・55期）,-,333m,2,-,-
武藤　篤弘,14451,95期,関東,西武園,埼玉県,追,1984/11/12,武藤 龍生(甥98期),-,-,-,武藤　嘉伸（埼　玉・59期）,-,-,-,焼肉・プリン,豚の角煮
武藤　龍生,14659,98期,関東,西武園,埼玉県,追,1991/3/26,武藤 篤弘(叔父95期),相良　祐太（福　島・98期）、新山　将史（青　森・98期）、等々力久就（長　野・98期）,武藤　嘉伸（埼　玉・59期）、武藤　篤弘（埼　玉・95期）,-,武藤　嘉伸（埼　玉・59期）,-,-,1,カレー,トマト
村上　直久,14465,95期,南関東,平塚,神奈川県,両,1981/6/24,金子 浩貴(義弟95期),藤崎　優輝（福　岡・95期）,-,平塚競輪場午前中グループ,勝瀬　卓也（神奈川・84期）,-,-,-,丈清の焼肉､ﾋﾟｸﾙｽの鶏の照焼定食､やまいち旅館のご飯,なし
村上　博幸,13791,86期,近畿,向日町,京都府,追,1979/4/15,村上 義弘(兄73期),-,藤木　裕（京　都・89期）、山田　久徳（京　都・93期）、谷内　健太（京　都・125期）,京都向日町競輪場グループ,村上　義弘（京　都・73期）,-,-,５・７,肉類,-
村上　竜馬,15375,115期,中国,広島,広島県,逃,1996/1/5,-,船瀬　惇平（広　島・111期）、藤井　將（広　島・113期）、藏本　徹二（広　島・111期）、宇佐見優介（福　島・115期）、朝倉　智仁（茨　城・115期）,田村　光昭（広　島・67期）、森江　信行（広　島・49期）、平坂　典也（広　島・61期）、石田　洋秀（広　島・64期）、中石　昌芳（広　島・81期）、前反祐一郎（広　島・81期）、大屋　健司（広　島・87期）、大瀬戸潤一（広　島・95期）、西岡　拓朗（広　島・97期）,鬼原グループ,大瀬戸潤一（広　島・95期）,-,400m,１・３・９,魚,くわい
村田　雅一,14103,90期,近畿,-,兵庫県,追,1984/7/4,-,篠塚　光一（兵　庫・90期）、井上　将志（兵　庫・100期）,井上　将志（兵　庫・100期）、竜門　孝宗（兵　庫・95期）、藤岡　徹也（兵　庫・121期）、市村　昌樹（兵　庫・103期）、油谷　蒼（兵　庫・125期）,-,平田　哲也（兵　庫・59期）,藤岡　徹也（兵　庫・121期）,333m,2,寿司・焼肉,トマト
村田　祐樹,15628,121期,中部,富山,富山県,逃,1998/8/14,-,南儀　拓海（富　山・121期）、比佐　宝太（福　島・121期）,宮越　大（富　山・77期）、宮越　孝治（富　山・82期）,-,宮越　孝治（富　山・82期）,-,333m,2,寿司,なし
室井　健一,12541,69期,四国,小松島,徳島県,追,1970/10/16,室井竜二(弟65期)室井蓮太朗(121期),小倉　竜二（徳　島・77期）,佐竹　和也（徳　島・83期）、山本　宏明（徳　島・83期）、原田研太朗（徳　島・98期）、松本　卓也（徳　島・98期）、増田　鉄男（徳　島・74期）、藤原　義晴（岩　手・88期）、藤原　春陽（徳　島・122期）,-,富原　忠夫（徳　島・43期）,島川　将貴（徳　島・109期）、室井蓮太朗（徳　島・121期）,-,4,肉・魚,-
室井　竜二,12234,65期,四国,小松島,徳島県,追,1970/10/16,室井健一(兄69期)室井蓮太朗(121期）,-,-,-,辻　勝治（徳　島・38期）,-,-,2,焼肉、貝類,-
室井　蓮太朗,15645,121期,四国,小松島,徳島県,両,2001/1/24,室井 健一(69期)室井 竜二(65期),後藤　大輝（福　岡・121期）、近藤　雄太（岡　山・121期）、小西　晴己（三　重・121期）、福田　要（宮　崎・121期）、米村　光星（熊　本・121期）、太田　海也（岡　山・121期）,-,-,室井　健一（徳　島・69期）,-,400m,-,-,-
望月　一成,15176,111期,南関東,静岡,静岡県,逃,1996/9/19,-,金ヶ江勇気（佐　賀・111期）、山崎　賢人（長　崎・111期）,-,-,黒田　直記（静　岡・72期）,-,400m,5,ナス,-
望月　永悟,13115,77期,南関東,静岡,静岡県,追,1977/1/15,-,-,-,-,笹野井丈晴（静　岡・64期）,杉沢毛伊子（静　岡・104期）,-,-,スウィーツ,納豆
望月　湧世,15713,123期,南関東,静岡,静岡県,逃,2003/8/24,望月紀男(79期),-,望月　紀男（静　岡・79期）,-,望月　紀男（静　岡・79期）,-,400m,1,すき焼き,玉ねぎ
元砂　勇雪,14946,103期,近畿,奈良,奈良県,追,1991/11/1,元砂 七夕美(妹108期)、元砂 海人（兄113期）,-,栗山　俊介（奈　良・103期）、元砂　海人（奈　良・113期）、佐藤　成人（奈　良・71期）,-,-,元砂　海人（奈　良・113期）,333m,２・３・７,焼き肉、果物,キノコ類
森川　大輔,14246,92期,中部,岐阜,岐阜県,追,1987/7/4,-,-,-,-,浅井　雄三（岐　阜・79期）,-,-,1,焼肉,-
守澤　太志,14501,96期,北日本,-,秋田県,追,1985/7/20,-,-,-,-,高橋　里志（秋　田・49期）,高橋　大輝（秋　田・111期）,-,１・２,焼き肉,コンブ・レバー
森田　一郎,15799,125期,関東,大宮,埼玉県,逃,2001/2/1,-,福田　健太（宮　城・125期）、原田　峻治（山　口・125期）、稲留　敦貴（鹿児島・125期）、中石　湊（北海道・125期）、中島　淳（埼　玉・125期）、油谷　蒼（兵　庫・125期）,山信田　学（埼　玉・83期）、森田　優弥（埼　玉・113期）、中島　淳（埼　玉・125期）、藤田　周磨（埼　玉・117期）、山口　多聞（埼　玉・121期）、中山　拓人（埼　玉・121期）、近藤　圭佑（埼　玉・121期）,見沼グループ,山信田　学（埼　玉・83期）,-,500m,1,フルーツ,なし
森田　優弥,15248,113期,関東,大宮,埼玉県,逃,1998/7/8,-,伊藤　歩登（兵　庫・113期）、吉元　大生（静　岡・113期）、嵯峨昇喜郎（青　森・113期）、福永　大智（大　阪・113期）、山田　諒（岐　阜・113期）、眞杉　匠（栃　木・113期）、黒沢　征治（埼　玉・113期）、小玉　勇一（埼　玉・113期）、尾崎　悠生（埼　玉・113期）,山信田　学（埼　玉・83期）、藤田　周磨（埼　玉・117期）、近藤　圭佑（埼　玉・121期）、山口　多聞（埼　玉・121期）、中山　拓人（埼　玉・121期）、熊崎　麻人（埼　玉・123期）、中島　淳（埼　玉・125期）、森田　一郎（埼　玉・125期）,見沼グループ,山信田　学（埼　玉・83期）,-,400m,1,カツ丼,なし
